id1,id2,station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,valid_ET,Day Of Week ET,sunrise,sunset,daylight
0,32,JYO,2023-09-01 10:55:00+00:00,59.0,50.0,72.01,20.0,5.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,59.0,KJYO 011055Z AUTO 02005KT 10SM CLR 15/10 A3026 RMK AO2,,2023-09-01 06:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
1,33,JYO,2023-09-01 11:15:00+00:00,59.0,50.0,72.01,20.0,6.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,59.0,KJYO 011115Z AUTO 02006KT 10SM CLR 15/10 A3027 RMK AO2,,2023-09-01 07:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
2,34,JYO,2023-09-01 11:35:00+00:00,59.0,50.0,72.01,20.0,6.0,0.0,30.28,,10.0,,CLR,,,,,,,,,,,,,,,59.0,KJYO 011135Z AUTO 02006KT 10SM CLR 15/10 A3028 RMK AO2,,2023-09-01 07:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
3,35,JYO,2023-09-01 11:55:00+00:00,60.8,51.8,72.2,30.0,7.0,0.0,30.29,,10.0,,CLR,,,,,,,,,,,,,,,60.8,KJYO 011155Z AUTO 03007KT 10SM CLR 16/11 A3029 RMK AO2,,2023-09-01 07:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
4,36,JYO,2023-09-01 12:15:00+00:00,62.6,51.8,67.75,30.0,8.0,0.0,30.29,,10.0,,CLR,,,,,,,,,,,,,,,62.6,KJYO 011215Z AUTO 03008KT 10SM CLR 17/11 A3029 RMK AO2,,2023-09-01 08:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
5,37,JYO,2023-09-01 12:35:00+00:00,62.6,51.8,67.75,30.0,6.0,0.0,30.3,,10.0,,CLR,,,,,,,,,,,,,,,62.6,KJYO 011235Z AUTO 03006KT 10SM CLR 17/11 A3030 RMK AO2,,2023-09-01 08:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
6,38,JYO,2023-09-01 12:55:00+00:00,64.4,51.8,63.6,30.0,8.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,64.4,KJYO 011255Z AUTO 03008KT 10SM CLR 18/11 A3031 RMK AO2,,2023-09-01 08:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
7,39,JYO,2023-09-01 13:15:00+00:00,64.4,51.8,63.6,40.0,8.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,64.4,KJYO 011315Z AUTO 04008KT 10SM CLR 18/11 A3031 RMK AO2,,2023-09-01 09:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
8,40,JYO,2023-09-01 13:35:00+00:00,68.0,51.8,56.13,50.0,8.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,68.0,KJYO 011335Z AUTO 05008KT 10SM CLR 20/11 A3031 RMK AO2,,2023-09-01 09:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
9,41,JYO,2023-09-01 13:55:00+00:00,68.0,51.8,56.13,40.0,4.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,68.0,KJYO 011355Z AUTO 04004KT 10SM CLR 20/11 A3031 RMK AO2,,2023-09-01 09:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
10,42,JYO,2023-09-01 14:15:00+00:00,69.8,53.6,56.38,30.0,4.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,69.8,KJYO 011415Z AUTO 03004KT 10SM CLR 21/12 A3031 RMK AO2,,2023-09-01 10:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
11,43,JYO,2023-09-01 14:35:00+00:00,69.8,53.6,56.38,0.0,0.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,69.8,KJYO 011435Z AUTO 00000KT 10SM CLR 21/12 A3031 RMK AO2,,2023-09-01 10:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
12,44,JYO,2023-09-01 14:55:00+00:00,71.6,51.8,49.64,40.0,4.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,71.6,KJYO 011455Z AUTO 04004KT 10SM CLR 22/11 A3031 RMK AO2,,2023-09-01 10:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
13,45,JYO,2023-09-01 15:15:00+00:00,71.6,51.8,49.64,120.0,4.0,0.0,30.32,,10.0,,CLR,,,,,,,,,,,,,,,71.6,KJYO 011515Z AUTO 12004KT 10SM CLR 22/11 A3032 RMK AO2,,2023-09-01 11:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
14,46,JYO,2023-09-01 15:35:00+00:00,73.4,51.8,46.71,120.0,6.0,0.0,30.32,,10.0,,CLR,,,,,,,,,,,,,,,73.4,KJYO 011535Z AUTO 12006KT 10SM CLR 23/11 A3032 RMK AO2,,2023-09-01 11:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
15,47,JYO,2023-09-01 15:55:00+00:00,73.4,51.8,46.71,0.0,0.0,0.0,30.32,,10.0,,CLR,,,,,,,,,,,,,,,73.4,KJYO 011555Z AUTO 00000KT 10SM CLR 23/11 A3032 RMK AO2,,2023-09-01 11:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
16,48,JYO,2023-09-01 16:15:00+00:00,73.4,51.8,46.71,0.0,0.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,73.4,KJYO 011615Z AUTO 00000KT 10SM CLR 23/11 A3031 RMK AO2,,2023-09-01 12:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
17,49,JYO,2023-09-01 16:35:00+00:00,75.2,51.8,43.97,30.0,5.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,75.2,KJYO 011635Z AUTO 03005KT 10SM CLR 24/11 A3031 RMK AO2,,2023-09-01 12:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
18,50,JYO,2023-09-01 16:55:00+00:00,77.0,51.8,41.42,270.0,5.0,0.0,30.31,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 011655Z AUTO 27005KT 10SM CLR 25/11 A3031 RMK AO2,,2023-09-01 12:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
19,51,JYO,2023-09-01 17:15:00+00:00,77.0,51.8,41.42,0.0,0.0,0.0,30.3,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 011715Z AUTO 00000KT 10SM CLR 25/11 A3030 RMK AO2,,2023-09-01 13:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
20,52,JYO,2023-09-01 17:35:00+00:00,77.0,50.0,38.74,0.0,0.0,0.0,30.3,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 011735Z AUTO 00000KT 10SM CLR 25/10 A3030 RMK AO2,,2023-09-01 13:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
21,53,JYO,2023-09-01 17:55:00+00:00,78.8,51.8,39.02,0.0,0.0,0.0,30.3,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 011755Z AUTO 00000KT 10SM CLR 26/11 A3030 RMK AO2,,2023-09-01 13:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
22,54,JYO,2023-09-01 18:15:00+00:00,77.0,51.8,41.42,0.0,0.0,0.0,30.3,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 011815Z AUTO 00000KT 10SM CLR 25/11 A3030 RMK AO2,,2023-09-01 14:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
23,55,JYO,2023-09-01 18:35:00+00:00,78.8,51.8,39.02,50.0,6.0,0.0,30.29,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 011835Z AUTO 05006KT 10SM CLR 26/11 A3029 RMK AO2,,2023-09-01 14:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
24,56,JYO,2023-09-01 18:55:00+00:00,78.8,51.8,39.02,40.0,4.0,0.0,30.28,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 011855Z AUTO 04004KT 10SM CLR 26/11 A3028 RMK AO2,,2023-09-01 14:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
25,57,JYO,2023-09-01 19:15:00+00:00,80.6,51.8,36.79,0.0,0.0,0.0,30.28,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 011915Z AUTO 00000KT 10SM CLR 27/11 A3028 RMK AO2,,2023-09-01 15:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
26,58,JYO,2023-09-01 19:35:00+00:00,80.6,51.8,36.79,120.0,6.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 011935Z AUTO 12006KT 10SM CLR 27/11 A3027 RMK AO2,,2023-09-01 15:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
27,59,JYO,2023-09-01 19:55:00+00:00,80.6,51.8,36.79,0.0,0.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 011955Z AUTO 00000KT 10SM CLR 27/11 A3027 RMK AO2,,2023-09-01 15:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
28,60,JYO,2023-09-01 20:15:00+00:00,80.6,51.8,36.79,40.0,3.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 012015Z AUTO 04003KT 10SM CLR 27/11 A3026 RMK AO2,,2023-09-01 16:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
29,61,JYO,2023-09-01 20:35:00+00:00,80.6,51.8,36.79,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 012035Z AUTO 00000KT 10SM CLR 27/11 A3026 RMK AO2,,2023-09-01 16:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
30,62,JYO,2023-09-01 20:55:00+00:00,80.6,51.8,36.79,0.0,0.0,0.0,30.25,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 012055Z AUTO 00000KT 10SM CLR 27/11 A3025 RMK AO2,,2023-09-01 16:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
31,63,JYO,2023-09-01 21:15:00+00:00,80.6,50.0,34.41,140.0,6.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,79.88,KJYO 012115Z AUTO 14006KT 10SM CLR 27/10 A3024 RMK AO2,,2023-09-01 17:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
32,64,JYO,2023-09-01 21:35:00+00:00,80.6,51.8,36.79,120.0,5.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,80.08,KJYO 012135Z AUTO 12005KT 10SM CLR 27/11 A3024 RMK AO2,,2023-09-01 17:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
33,65,JYO,2023-09-01 21:55:00+00:00,80.6,50.0,34.41,70.0,4.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,79.88,KJYO 012155Z AUTO 07004KT 10SM CLR 27/10 A3024 RMK AO2,,2023-09-01 17:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
34,66,JYO,2023-09-01 22:15:00+00:00,78.8,51.8,39.02,150.0,5.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012215Z AUTO 15005KT 10SM CLR 26/11 A3024 RMK AO2,,2023-09-01 18:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
35,67,JYO,2023-09-01 22:35:00+00:00,78.8,50.0,36.51,130.0,3.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012235Z AUTO 13003KT 10SM CLR 26/10 A3024 RMK AO2,,2023-09-01 18:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
36,68,JYO,2023-09-01 22:55:00+00:00,78.8,51.8,39.02,100.0,3.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012255Z AUTO 10003KT 10SM CLR 26/11 A3024 RMK AO2,,2023-09-01 18:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
37,69,JYO,2023-09-01 23:15:00+00:00,78.8,51.8,39.02,120.0,5.0,0.0,30.23,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012315Z AUTO 12005KT 10SM CLR 26/11 A3023 RMK AO2,,2023-09-01 19:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
38,70,JYO,2023-09-01 23:35:00+00:00,77.0,51.8,41.42,100.0,3.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 012335Z AUTO 10003KT 10SM CLR 25/11 A3024 RMK AO2,,2023-09-01 19:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
39,104,JYO,2023-09-02 10:55:00+00:00,55.4,53.6,93.65,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,55.4,KJYO 021055Z AUTO 00000KT 10SM CLR 13/12 A3026 RMK AO2,,2023-09-02 06:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
40,105,JYO,2023-09-02 11:15:00+00:00,53.6,53.6,100.0,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,53.6,KJYO 021115Z AUTO 00000KT 10SM CLR 12/12 A3026 RMK AO2,,2023-09-02 07:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
