exp,Matrix row size,Strassen Time,Multiply Time,numpy Time,cpp times
2,4,0.000137546000041766,4.18094001361169E-05,1.00362998637138E-05,1.60388997755945E-05
3,8,0.000655340999704398,0.000312091999755163,2.20152309898717E-05,1.73827997059561E-05
4,16,0.00315836800109537,0.00175129950002884,7.15240021236241E-06,2.5098399783019E-05
5,32,0.0272720155007846,0.015435476499988,4.14931246268679E-05,6.14200995187275E-05
6,64,0.17386224999791,0.112081310999201,0.000281166000301406,0.000340098499145824
7,128,1.22229838600106,0.816328642998997,0.00173080959939398,0.00190062839974416
8,256,9.34087840799839,6.62396349199844,0.0199761604002561,0.0130650984996464
9,512,77.6389013659973,55.5394243339979,0.175177451000309,0.0950937930014334
10,1024,436.458082713001,506.821904091998,2.17545600249923,1.05719376698835
11,2048,,,75.1340661059949,13.4533212240058
12,4096,,,635.705369962001,304.208021102008
