student,frq,retries,max_score
44,19,1,8.0
80,6,1,1.0
35,52,1,8.0
214,13,1,8.0
59,53,1,9.0
240,9,1,5.0
76,51,1,9.0
39,54,1,2.0
81,52,1,8.0
35,7,1,1.0
45,12,1,3.0
48,6,1,3.0
50,51,1,9.0
37,20,1,3.0
46,52,1,8.0
93,6,1,0.0
75,52,1,7.0
49,19,1,9.0
39,53,1,7.0
47,54,1,9.0
160,14,1,9.0
76,53,1,6.0
240,13,1,4.0
64,54,1,1.0
48,53,1,0.0
202,20,1,8.0
58,52,1,9.0
49,54,1,9.0
66,53,1,9.0
89,12,1,9.0
58,51,1,7.0
40,14,1,9.0
44,51,1,8.0
51,53,1,9.0
40,6,1,9.0
45,52,1,7.0
216,19,1,9.0
42,52,1,7.0
78,53,1,6.0
48,54,1,0.0
234,9,1,7.0
53,51,1,5.0
40,15,1,9.0
66,51,1,9.0
49,21,1,9.0
72,52,1,6.0
213,17,1,9.0
156,13,1,5.0
50,10,1,6.0
74,9,1,4.0
73,52,1,4.0
74,54,1,4.0
57,12,1,9.0
213,16,1,5.0
39,7,1,8.0
42,51,1,8.0
50,52,1,9.0
80,54,1,7.0
74,53,1,5.0
74,20,1,5.0
67,54,1,1.0
81,54,1,8.0
40,7,1,9.0
36,53,1,9.0
48,51,1,0.0
215,8,1,9.0
44,18,1,9.0
53,52,1,2.0
57,53,1,8.0
52,53,1,7.0
57,11,1,7.0
62,53,1,7.0
53,16,1,0.0
49,16,1,9.0
67,53,1,6.0
57,54,1,8.0
43,52,1,9.0
40,54,1,8.0
62,52,1,8.0
68,54,1,1.0
81,9,1,2.0
112,8,1,0.0
155,14,1,4.0
57,19,1,8.0
39,52,1,2.0
45,54,1,8.0
51,54,1,9.0
68,51,1,6.0
202,11,1,7.0
71,52,1,9.0
81,53,1,8.0
48,8,1,6.0
40,53,1,9.0
75,51,1,9.0
43,51,1,9.0
57,17,1,7.0
78,8,1,9.0
41,51,1,9.0
210,9,1,2.0
51,52,1,9.0
36,52,1,9.0
45,51,1,7.0
74,51,1,5.0
73,53,1,6.0
44,54,1,8.0
50,12,1,7.0
52,54,1,9.0
49,53,1,8.0
49,10,1,9.0
68,7,1,9.0
51,6,1,9.0
209,9,1,2.0
49,12,1,9.0
209,13,1,7.0
62,51,1,8.0
78,9,1,9.0
54,53,1,2.0
59,54,1,7.0
51,7,1,9.0
80,51,1,7.0
54,52,1,1.0
71,54,1,8.0
78,11,1,8.0
59,52,1,9.0
78,12,1,9.0
51,16,1,9.0
59,51,1,9.0
50,54,1,8.0
76,52,1,7.0
80,7,1,9.0
155,8,1,9.0
37,7,1,9.0
66,52,1,9.0
62,20,1,9.0
38,51,1,0.0
64,53,1,5.0
118,15,1,0.0
78,15,1,9.0
66,54,1,9.0
46,51,1,8.0
55,53,1,7.0
57,52,1,8.0
153,21,1,9.0
49,52,1,9.0
89,6,1,0.0
223,9,1,9.0
78,52,1,8.0
153,18,1,9.0
55,7,1,2.0
75,53,1,8.0
82,8,1,0.0
156,19,1,9.0
52,8,1,9.0
219,21,1,9.0
157,6,1,3.0
58,53,1,8.0
70,53,1,7.0
52,20,1,8.0
203,9,1,7.0
46,54,1,6.0
159,16,1,9.0
240,17,1,7.0
36,51,1,9.0
80,53,1,5.0
57,14,1,7.0
64,52,1,5.0
201,10,1,6.0
38,53,1,2.0
42,53,1,9.0
52,51,1,8.0
55,51,1,8.0
40,20,1,8.0
45,53,1,9.0
45,7,1,9.0
52,7,1,3.0
50,20,1,9.0
62,8,1,9.0
